character,unicode,usage_count
렴,U+B834,26
렵,U+B835,8
렸,U+B838,46
령,U+B839,2
례,U+B840,1
로,U+B85C,691
록,U+B85D,15
론,U+B860,127
롭,U+B86D,24
롯,U+B86F,102
롱,U+B871,2
뢰,U+B8B0,9
료,U+B8CC,15
룡,U+B8E1,35
루,U+B8E8,26
룩,U+B8E9,1
룰,U+B8F0,1
룻,U+B8FB,16
뤘,U+B918,1
류,U+B958,3
륙,U+B959,18
륭,U+B96D,8
르,U+B974,235
른,U+B978,87
를,U+B97C,550
름,U+B984,53
릇,U+B987,6
리,U+B9AC,760
릭,U+B9AD,3
린,U+B9B0,58
릴,U+B9B4,46
림,U+B9BC,39
립,U+B9BD,1
릿,U+B9BF,8
마,U+B9C8,1580
막,U+B9C9,41
만,U+B9CC,2231
많,U+B9CE,46
말,U+B9D0,832
맑,U+B9D1,2
맙,U+B9D9,5
맛,U+B9DB,51
망,U+B9DD,46
맞,U+B9DE,74
맡,U+B9E1,19
맣,U+B9E3,1
매,U+B9E4,32
맹,U+B9F9,22
머,U+BA38,79
먹,U+BA39,177
먼,U+BA3C,19
멀,U+BA40,22
멈,U+BA48,10
멋,U+BA4B,15
멍,U+BA4D,14
멎,U+BA4E,1
메,U+BA54,58
멘,U+BA58,35
며,U+BA70,23
면,U+BA74,562
멸,U+BA78,4
몄,U+BA84,1
명,U+BA85,146
몇,U+BA87,25
모,U+BAA8,249
목,U+BAA9,71
몫,U+BAAB,9
몬,U+BAAC,15
몰,U+BAB0,40
몸,U+BAB8,21
못,U+BABB,75
묘,U+BB18,9
무,U+BB34,382
묵,U+BB35,14
묶,U+BB36,1
문,U+BB38,50
묻,U+BB3B,3
물,U+BB3C,138
뭐,U+BB50,390
뭔,U+BB54,71
뭘,U+BB58,39
뮈,U+BB88,1
므,U+BBC0,1
미,U+BBF8,485
민,U+BBFC,31
믿,U+BBFF,17
밀,U+BC00,9
밑,U+BC11,6
바,U+BC14,277
박,U+BC15,116
밖,U+BC16,44
반,U+BC18,96
받,U+BC1B,41
발,U+BC1C,24
밝,U+BC1D,6
밟,U+BC1F,1
밤,U+BC24,32
밥,U+BC25,30
방,U+BC29,78
밭,U+BC2D,2
배,U+BC30,102
백,U+BC31,8
뱃,U+BC43,6
버,U+BC84,175
번,U+BC88,73
벌,U+BC8C,35
범,U+BC94,12
법,U+BC95,64
벗,U+BC97,1
베,U+BCA0,6
벼,U+BCBC,4
벽,U+BCBD,9
변,U+BCC0,18
별,U+BCC4,43
병,U+BCD1,5
볕,U+BCD5,1
보,U+BCF4,447
복,U+BCF5,701
본,U+BCF8,109
볼,U+BCFC,74
봉,U+BD09,10
봐,U+BD10,61
봤,U+BD24,26
부,U+BD80,267
북,U+BD81,7
분,U+BD84,192
불,U+BD88,53
붉,U+BD89,4
붙,U+BD99,24
뷔,U+BDD4,10
브,U+BE0C,21
블,U+BE14,4
비,U+BE44,491
빈,U+BE48,3
빌,U+BE4C,6
빚,U+BE5A,7
빛,U+BE5B,28
빠,U+BE60,11
빡,U+BE61,2
빨,U+BE68,34
빵,U+BE75,23
빻,U+BE7B,2
빼,U+BE7C,9
뻐,U+BED0,14
뻑,U+BED1,1
뻔,U+BED4,4
뻤,U+BEE4,5
뾰,U+BFB0,1
뿌,U+BFCC,15
뿐,U+BFD0,42
쁘,U+C058,8
쁜,U+C05C,15
사,U+C0AC,591
산,U+C0B0,29
살,U+C0B4,113
삼,U+C0BC,5
샀,U+C0C0,1
상,U+C0C1,263
새,U+C0C8,100
색,U+C0C9,10
생,U+C0DD,212
샤,U+C0E4,6
샨,U+C0E8,4
샹,U+C0F9,4
서,U+C11C,712
석,U+C11D,134
선,U+C120,54
설,U+C124,120
섬,U+C12C,5
섭,U+C12D,9
섯,U+C12F,3
섰,U+C130,1
성,U+C131,169
세,U+C138,147
센,U+C13C,2
셀,U+C140,5
셈,U+C148,3
셋,U+C14B,695
셔,U+C154,8
셨,U+C168,3
셸,U+C178,8
소,U+C18C,314
속,U+C18D,97
손,U+C190,55
솔,U+C194,4
솟,U+C19F,5
송,U+C1A1,23
쇠,U+C1E0,12
쇼,U+C1FC,1
숍,U+C20D,1
수,U+C218,541
숙,U+C219,70
순,U+C21C,11
술,U+C220,30
숨,U+C228,41
숭,U+C22D,3
숲,U+C232,35
쉬,U+C26C,37
쉴,U+C274,1
쉽,U+C27D,13
쉿,U+C27F,2
슈,U+C288,207
스,U+C2A4,263
슨,U+C2A8,119
슬,U+C2AC,107
슴,U+C2B4,3
습,U+C2B5,24
슷,U+C2B7,11
승,U+C2B9,11
시,U+C2DC,475
식,U+C2DD,174
신,U+C2E0,203
싣,U+C2E3,2
실,U+C2E4,107
싫,U+C2EB,17
심,U+C2EC,88
십,U+C2ED,3
싱,U+C2F1,2
싶,U+C2F6,137
싸,U+C2F8,58
싹,U+C2F9,1
싼,U+C2FC,2
쌀,U+C300,2
쌍,U+C30D,11
써,U+C368,26
썩,U+C369,2
썰,U+C370,1
썼,U+C37C,4
쎄,U+C384,2
쑥,U+C465,3
쓰,U+C4F0,89
쓴,U+C4F4,9
쓸,U+C4F8,28
씌,U+C50C,1
씨,U+C528,191
씩,U+C529,3
씬,U+C52C,4
씹,U+C539,5
씻,U+C53B,1
아,U+C544,2358
악,U+C545,29
안,U+C548,277
않,U+C54A,335
알,U+C54C,681
